obs, insertion, bubble, selection, merge, type
203, 59.270, 1.050, 114.169, .723, List
203, .237, 10.770, 20.990, .544, Array
204, 58.994, .877, 114.771, .701, List
204, .237, 10.896, 21.154, .546, Array
205, 60.095, 1.072, 116.193, .742, List
205, .240, 10.966, 21.465, .549, Array
206, 59.173, 1.021, 117.217, .737, List
206, .245, 11.030, 21.589, .551, Array
207, 61.116, .993, 118.539, .758, List
207, .243, 11.119, 21.807, .554, Array
208, 61.779, 1.863, 119.702, .731, List
208, .243, 11.293, 22.019, 1.838, Array
209, 62.249, .934, 120.827, .740, List
209, .251, 11.334, 22.198, .556, Array
210, 63.367, 1.073, 121.967, .746, List
210, .256, 11.509, 22.459, .571, Array
211, 63.867, 1.038, 123.161, .750, List
211, .253, 11.614, 22.669, .566, Array
212, 65.134, .942, 124.232, .735, List
212, .250, 11.649, 22.817, .565, Array
213, 64.558, 1.123, 125.385, .759, List
213, .250, 11.886, 23.106, .566, Array
214, 65.864, 1.038, 126.709, .793, List
214, .253, 11.910, 23.326, .570, Array
215, 65.572, 1.004, 127.871, .757, List
215, .255, 12.009, 23.512, .581, Array
216, 66.833, 1.144, 129.173, .767, List
216, .259, 12.201, 23.791, .575, Array
217, 67.613, 1.075, 130.568, .783, List
217, .261, 12.305, 24.048, .586, Array
218, 67.721, 1.057, 131.665, .783, List
218, .258, 12.340, 24.193, .584, Array
219, 91.185, 1.108, 133.052, .784, List
219, .257, 12.554, 24.508, .593, Array
220, 70.272, 1.229, 134.477, .796, List
220, .262, 13.113, 24.749, .590, Array
221, 69.587, 1.012, 135.710, .773, List
221, .262, 12.749, 24.891, .594, Array
222, 70.443, 1.925, 137.126, .794, List
222, .271, 12.844, 25.170, .595, Array
223, 75.865, 1.164, 138.124, .788, List
223, .264, 12.961, 25.873, .602, Array
224, 72.661, 1.156, 141.859, .802, List
224, .267, 13.156, 25.786, .606, Array
225, 72.642, .995, 140.694, .796, List
225, .275, 13.219, 25.877, .609, Array
226, 72.559, 1.121, 141.977, .799, List
226, .274, 13.329, 26.269, .625, Array
227, 74.196, 1.059, 143.188, .796, List
227, .266, 13.443, 26.267, .615, Array
228, 74.308, 1.106, 144.367, .828, List
228, .267, 13.553, 26.789, .617, Array
229, 74.410, 1.113, 145.656, .819, List
229, .275, 13.622, 26.810, .615, Array
230, 90.603, 1.115, 146.961, .831, List
230, .271, 13.804, 26.994, .622, Array
231, 76.259, 1.119, 148.146, .846, List
231, .272, 14.055, 27.276, .652, Array
232, 76.174, 1.172, 150.204, .842, List
232, .278, 14.034, 27.491, .627, Array
233, 77.745, 1.183, 150.799, .844, List
233, .276, 14.399, 27.752, .637, Array
234, 88.784, 1.165, 152.237, .839, List
234, .276, 14.268, 27.972, .628, Array
235, 77.780, 1.187, 153.916, .854, List
235, .278, 14.455, 28.258, .630, Array
236, 78.338, 1.192, 155.180, .832, List
236, .277, 14.614, 28.453, .648, Array
237, 82.464, 1.262, 156.267, .857, List
237, .281, 14.697, 28.742, .643, Array
238, 84.463, 1.197, 157.804, .844, List
238, .285, 14.822, 29.058, .643, Array
239, 82.555, 1.149, 159.286, .859, List
239, .284, 14.974, 29.302, .652, Array
240, 81.158, 1.268, 160.858, .853, List
240, .284, 15.127, 29.562, .675, Array
241, 82.376, 1.251, 162.040, .864, List
241, .285, 16.183, 29.801, .655, Array
242, 83.480, 1.209, 163.488, .872, List
242, .287, 15.378, 30.038, .660, Array
243, 83.969, 1.227, 165.058, .877, List
243, .294, 15.468, 30.304, .661, Array
244, 85.213, 1.164, 166.421, .875, List
244, .291, 15.663, 30.751, .676, Array
245, 86.030, 1.227, 167.621, .862, List
245, .293, 15.720, 30.743, .661, Array
246, 91.355, 1.183, 199.638, .870, List
246, .293, 15.794, 31.018, .662, Array
247, 86.989, 1.236, 170.462, .873, List
247, .293, 15.989, 31.245, .672, Array
248, 88.056, 1.172, 174.399, .881, List
248, .296, 17.152, 31.474, .676, Array
249, 93.589, 1.099, 178.045, .889, List
249, .325, 16.227, 31.746, .685, Array
250, 88.888, 1.103, 174.193, .876, List
250, .298, 16.341, 32.326, .690, Array
251, 89.848, 1.206, 178.101, .882, List
251, .301, 16.510, 32.267, .706, Array
252, 92.674, 1.224, 177.405, .901, List
252, .301, 16.607, 32.507, .687, Array
253, 92.327, 1.235, 178.384, .898, List
253, .308, 16.907, 32.902, .698, Array
254, 91.792, 1.317, 179.978, .929, List
254, .303, 16.856, 33.087, .692, Array
255, 93.016, 1.238, 181.503, .916, List
255, .308, 16.973, 33.266, .693, Array
256, 95.201, 1.294, 182.894, .924, List
256, .304, 17.279, 33.555, .704, Array
257, 94.359, 1.173, 184.226, .921, List
257, .311, 17.448, 33.826, .708, Array
258, 94.802, 1.359, 185.774, .944, List
258, .308, 17.647, 34.073, .701, Array
259, 95.856, 1.399, 187.780, .935, List
259, .308, 17.767, 34.684, .709, Array
260, 98.141, 1.166, 188.596, .904, List
260, .307, 17.835, 34.615, .710, Array
261, 99.729, 1.256, 190.362, .922, List
261, .311, 18.023, 34.953, .714, Array
262, 97.682, 1.175, 191.489, .930, List
262, .312, 18.104, 35.155, .720, Array
263, 98.455, 1.198, 192.994, .913, List
263, .313, 18.267, 35.392, .717, Array
264, 113.791, 1.339, 194.768, .978, List
264, .314, 18.628, 35.880, .728, Array
265, 100.065, 1.202, 195.870, .931, List
265, .320, 18.509, 35.903, .727, Array
266, 101.216, 1.366, 197.362, .960, List
266, .317, 18.743, 36.155, 2.327, Array
267, 103.179, 1.360, 198.807, .959, List
267, .318, 18.784, 37.228, .739, Array
268, 106.521, 1.399, 200.322, .959, List
268, .322, 19.018, 49.194, 1.332, Array
269, 103.130, 1.371, 201.740, .970, List
269, .322, 19.145, 37.089, .741, Array
270, 112.538, 1.201, 203.112, .964, List
270, .322, 20.207, 37.311, .737, Array
271, 118.897, 1.238, 204.545, .946, List
271, .322, 19.334, 37.772, .740, Array
272, 119.310, 1.403, 214.001, .967, List
272, .335, 19.513, 38.130, .750, Array
273, 105.558, 1.315, 207.733, .988, List
273, .328, 19.704, 38.118, .747, Array
274, 107.546, 1.288, 209.385, .956, List
274, .331, 20.022, 38.410, .751, Array
275, 125.125, 1.305, 212.908, .971, List
275, .337, 19.897, 39.798, 1.123, Array
276, 110.726, 1.351, 212.507, .990, List
276, .341, 20.062, 39.090, .759, Array
277, 111.718, 1.323, 213.921, .972, List
277, .335, 20.170, 40.592, .758, Array
278, 109.493, 1.219, 215.852, 1.004, List
278, .344, 20.510, 39.545, .761, Array
279, 109.771, 1.412, 216.585, 1.000, List
279, .337, 20.499, 39.763, .766, Array
280, 112.105, 1.319, 217.997, .998, List
280, .344, 20.607, 39.994, .766, Array
281, 114.642, 1.453, 219.910, 1.008, List
281, .341, 20.768, 40.582, .771, Array
282, 114.400, 1.351, 221.226, 1.003, List
282, .339, 21.021, 40.663, .773, Array
283, 114.247, 1.301, 223.302, 1.001, List
283, .347, 20.994, 40.830, .773, Array
284, 114.346, 1.185, 224.134, .999, List
284, .339, 21.172, 41.049, .810, Array
285, 114.546, 1.206, 225.936, .978, List
285, .341, 21.262, 41.343, .782, Array
286, 118.640, 1.453, 227.374, 1.030, List
286, .344, 21.450, 41.665, .784, Array
287, 132.871, 1.428, 228.935, 1.035, List
287, .348, 21.701, 41.925, .781, Array
288, 119.298, 1.426, 230.558, 1.046, List
288, .355, 21.794, 42.238, .789, Array
289, 119.010, 1.480, 232.321, 1.050, List
289, .351, 22.012, 42.588, .795, Array
290, 118.608, 1.408, 233.883, 1.061, List
290, .351, 22.164, 42.840, .807, Array
291, 119.278, 1.422, 238.154, 1.040, List
291, .353, 22.240, 43.177, .805, Array
292, 139.615, 1.406, 237.565, 1.049, List
292, .362, 22.370, 43.444, .815, Array
293, 125.585, 1.420, 245.409, 1.051, List
293, .353, 22.519, 44.782, .806, Array
294, 123.909, 1.533, 240.659, 1.069, List
294, .354, 22.702, 44.033, .811, Array
295, 123.248, 1.329, 242.062, 1.043, List
295, .364, 22.782, 44.316, .812, Array
296, 123.719, 1.450, 245.327, 1.062, List
296, .367, 22.997, 44.682, .813, Array
297, 124.793, 1.393, 245.491, 1.061, List
297, .368, 23.348, 44.856, 2.582, Array
298, 128.949, 1.653, 246.709, 1.078, List
298, .367, 23.371, 45.557, .820, Array
299, 132.341, 1.286, 248.219, 1.086, List
299, .359, 23.594, 45.519, .877, Array
300, 126.737, 1.291, 249.630, 1.079, List
300, .362, 23.477, 45.694, .827, Array
301, 128.912, 1.447, 251.623, 1.095, List
301, .364, 23.694, 46.084, .849, Array
302, 127.687, 1.553, 253.434, 1.088, List
302, .378, 23.891, 46.439, .836, Array
303, 128.817, 1.483, 254.724, 1.100, List
303, .379, 24.013, 46.686, .836, Array
304, 150.909, 1.469, 256.248, 1.467, List
304, .625, 30.531, 52.102, .841, Array
305, 134.620, 1.443, 258.551, 1.171, List
305, .372, 24.262, 47.371, .842, Array
306, 147.900, 1.317, 259.586, 1.104, List
306, .372, 24.500, 47.593, .845, Array
307, 134.229, 1.624, 261.994, 1.115, List
307, .374, 24.607, 47.906, .844, Array
308, 132.440, 1.640, 263.821, 1.132, List
308, .378, 24.917, 48.285, .845, Array
309, 148.878, 1.545, 265.751, 1.139, List
309, .376, 24.997, 48.686, .857, Array
310, 137.814, 1.571, 267.131, 1.139, List
310, .377, 25.207, 48.884, .848, Array
311, 136.861, 1.323, 268.458, 1.146, List
311, .378, 25.303, 49.633, .857, Array
312, 141.431, 1.510, 270.201, 1.130, List
312, .384, 25.411, 49.534, .857, Array
313, 138.681, 1.537, 271.969, 1.116, List
313, .382, 25.671, 49.889, .861, Array
314, 138.149, 1.562, 274.103, 1.155, List
314, .382, 25.773, 50.163, .866, Array
315, 142.237, 1.428, 274.951, 1.129, List
315, .392, 25.904, 50.800, .868, Array
316, 145.998, 1.494, 276.793, 1.154, List
316, .386, 26.064, 54.339, .870, Array
317, 144.937, 1.623, 280.927, 1.157, List
317, .396, 26.272, 51.080, .872, Array
318, 143.107, 1.682, 280.446, 1.164, List
318, .401, 26.465, 51.742, .878, Array
319, 143.419, 1.611, 282.641, 1.166, List
319, .395, 26.653, 51.996, 2.612, Array
320, 146.929, 1.400, 284.235, 1.147, List
320, .391, 26.735, 51.973, .894, Array
321, 149.781, 1.644, 285.764, 1.181, List
321, .393, 26.903, 52.316, .888, Array
322, 147.375, 1.514, 287.519, 1.181, List
322, .396, 27.231, 52.663, .894, Array
323, 148.771, 1.341, 289.544, 1.163, List
323, .395, 27.130, 53.172, .890, Array
324, 148.310, 1.609, 290.803, 1.180, List
324, .401, 27.494, 53.285, .897, Array
325, 147.896, 1.503, 292.387, 1.194, List
325, .411, 27.535, 53.867, .901, Array
326, 155.337, 1.626, 294.435, 1.209, List
326, .404, 27.901, 54.014, .901, Array
